"Alabama",33945
"Alaska",44174
"Arizona",34999
"Arkansas",33150
"California",43104
"Colorado",42802
"Connecticut",56001
"Delaware",39962
"Washington DC",71044
"Florida",39272
"Georgia",35490
"Hawaii",41021
"Idaho",32257
"Illinois",43159
"Indiana",34943
"Iowa",38281
"Kansas",39737
"Kentucky",33348
"Louisiana",38446
"Maine",37300
"Maryland",49025
"Massachusetts",51552
"Michigan",35597
"Minnesota",42843
"Mississippi",31186
"Missouri",36979
"Montana",35317
"Nebraska",39557
"Nevada",36997
"New Hampshire",44084
"New Jersey",50781
"New Mexico",33837
"New York",48821
"North Carolina",35638
"North Dakota",40596
"Ohio",36421
"Oklahoma",36421
"Oregon",37095
"Pennsylvania",41152
"Rhode Island",42579
"South Carolina",33163
"South Dakota",33865
"Tennessee",35307
"Texas",39493
"Utah",32595
"Vermont",40283
"Virginia",44762
"Washington",43564
"West Virginia",32641
"Wisconsin",38432
"Wyoming",47851
"Puerto Rico",18341
